Epic,StoryID,Title,Role,UserStory,AcceptanceCriteria,BV,TC,RR,WSJFScore,Dependencies
F1 — Corpora & Indexing,F1-S01,Corpus folder & checksum scaffold,HLB,"As a Home-Lab Builder, I want a standard data/corpora structure with checksum files so that I can verify inputs and resume safely.","Given an empty repo | When I run 'make venv' then 'python -m src.chunk_and_index --init-only' | Then folders data/corpora, indices/{bm25,faiss}, and data/.checksums.json are created; And invalid or missing folders cause a clear non-zero exit.",5,4,4,13,
F1 — Corpora & Indexing,F1-S05,Dense index (FAISS + E5-base),MLE,"As an ML Engineer, I want a FAISS index with intfloat/multilingual-e5-base so that semantic retrieval works offline.",Given the same chunk set | When I run 'make dense' | Then indices/faiss/*.index and indices/faiss/meta.json are created with encoder dims; And a test query returns top-k=50 vectors without error.,5,4,4,13,F1-S03
F1 — Corpora & Indexing,F1-S02,Latin text loader w/ metadata,MLE,"As an ML Engineer, I want a loader that reads UTF-8 texts and extracts work, ref, text so that downstream audit can cite correctly.","Given 3 sample files | When loaded | Then each chunk has non-empty work, ref, text; And non-UTF8 files are skipped with a warning and listed in a report.",5,3,4,12,F1-S01
F1 — Corpora & Indexing,F1-S03,Configurable chunker (800/80),MLE,"As an ML Engineer, I want 800-char chunks with 80-char overlap configurable in YAML so that retrieval recall is stable.",Given configs/default.yaml | When run | Then produced chunks respect bounds ±2 chars; And consecutive chunks share ≥80 chars.,4,4,4,12,F1-S02
F1 — Corpora & Indexing,F1-S04,BM25 index build (rank_bm25),MLE,"As an ML Engineer, I want a BM25 index under indices/bm25 so that claim retrieval is fast and local.",Given a prepared chunk set | When I run 'make index' | Then a serialized BM25 is created with doc count = chunk count; And query 'gratia' returns ≥1 result for Aquinas sample corpus.,5,4,3,12,F1-S03
F1 — Corpora & Indexing,F1-S06,Index meta recorder,HLB,"As a Home-Lab Builder, I want a single indices/meta.json with encoder name, FAISS version, build date, and checksums so runs are reproducible.",Given built indices | When meta recorder runs | Then indices/meta.json exists and fields match PRD; And rebuild updates date but preserves encoder id if unchanged.,4,3,5,12,F1-S04; F1-S05
F1 — Corpora & Indexing,F1-S07,Idempotent rebuild & resume,HLB,"As a Home-Lab Builder, I want re-running 'make index dense' to be no-op when artifacts are current so rebuilds are safe.",Given current artifacts | When I rerun 'make index dense' | Then second run completes in <15% of first run time and logs 'up-to-date'; And '--force' triggers full rebuild.,4,4,4,12,F1-S04; F1-S05
F1 — Corpora & Indexing,F1-S08,Index build TTFB timer,HLB,"As a Home-Lab Builder, I want build duration recorded so we can prove TTFB ≤ 30 minutes.",Given a 50–200MB corpus | When index steps run | Then runs/<batch>/summary.json records minutes; And pipeline fails if >30m unless '--allow-slow' is set.,3,5,3,11,F1-S06
F2 — Debate Generation,F2-S02,4-bit quant fallback w/ warning,HLB,"As a Home-Lab Builder, I want automatic 4-bit load if OOM occurs so 12GB VRAM runs succeed.",Given an intentional fp16 OOM | When loader retries | Then model loads in 4-bit and logs a yellow warning.,5,5,5,15,F2-S01
F2 — Debate Generation,F2-S01,Local model loader (fp16),HLB,"As a Home-Lab Builder, I want Meta-Llama-3-8B-Instruct to load locally so I can generate debates offline.",Given proper CUDA | When I run 'python -m src.debate_loop --dry-run' | Then the model loads with torch.set_grad_enabled(False) and VRAM usage is logged.,5,5,4,14,F1-S01..S06
